id;title;description;price;discount;land_square_meters;area_square_meters;latitude;longitude;zoom;address_text;creation_date;state
1;compress Borders;secured line;29756;21477;94932;79287;72773;69839;14095;strategize withdrawal;2020-11-02T23:45:16;17521
2;IB;Rustic Rubber Gloves lime;43550;66175;36838;61170;41240;39201;85986;invoice;2020-11-02T16:59:04;58838
3;GB Streamlined;Communications navigating North Dakota;25022;91601;88110;19618;75275;71569;50869;expedite;2020-11-02T12:08:58;72916
4;incubate Granite;Avon;87269;92088;85780;20201;98099;43148;32367;Operative Palladium redefine;2020-11-02T19:15:28;42071
5;Fantastic Parks;Guinea Franc Tools;95628;20419;74014;15044;65280;85087;8642;Refined Cotton Tuna;2020-11-02T07:55:53;53949
6;Rustic;Directives;20100;71907;70230;65222;4769;39710;21643;deposit Missouri Licensed;2020-11-02T20:55:42;87444
7;Chile;success;75063;15487;17655;1852;99967;88477;19618;Synergistic 5th generation reinvent;2020-11-02T22:55:54;5029
8;Malaysian Ringgit Borders Accountability;Group;57878;1776;66131;58254;21936;91245;13032;networks Norway enterprise;2020-11-02T14:23:04;4888
9;Fish superstructure;functionalities capability Massachusetts;10127;80478;22215;86825;91061;92812;78103;Designer collaborative Operations;2020-11-02T09:44:18;15034
10;synthesize Bedfordshire 3rd generation;navigate olive;98088;57783;19916;44704;48495;36816;20318;Dynamic Avon invoice;2020-11-02T09:04:18;34999
